StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q26,Q22,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q25
2022-04-06 15:18:53,2022-04-06 15:19:53,IP Address,75.110.238.115,100,59,True,2022-04-06 15:19:53,R_31bDVkFgzqahBxy,,,,,38.420299999999997453414835035800933837890625,-81.994699999999994588506524451076984405517578125,anonymous,EN,,,,,,,,,,5d2b2b58c43c550001e9e268,Male,5-10 years,20-59,Undergraduate,$25-$50k,White,50,
2022-04-06 15:17:35,2022-04-06 15:20:38,IP Address,172.58.219.160,100,182,True,2022-04-06 15:20:38,R_b9PQDY5GVAxPCrD,,,,,42.3498000000000018872015061788260936737060546875,-71.0764999999999957935870043002068996429443359375,anonymous,EN,610f08f3d1314c14931e2829,Female,10+ years,20-59,Postgraduate,$50-$100k,Black,10,,,,,,,,,,
2022-04-06 15:20:20,2022-04-06 15:21:01,IP Address,73.122.132.87,100,40,True,2022-04-06 15:21:01,R_3lRqnz3rUk0CgfL,,,,,33.83319999999999794226823723874986171722412109375,-84.6030999999999977490006131120026111602783203125,anonymous,EN,607331e66524baf7ddfaae21,Female,10+ years,20-59,Postgraduate,$150k+,Black,10,,,,,,,,,,
2022-04-06 15:19:34,2022-04-06 15:21:07,IP Address,174.205.161.155,100,93,True,2022-04-06 15:21:08,R_3iPECQcaobHqs9l,,,,,33.46829999999999927240423858165740966796875,-112.054900000000003501554601825773715972900390625,anonymous,EN,,,,,,,,,,602f329284781fbf09e0cafc,Male,5-10 years,20-59,High School,$150k+,White,80,
2022-04-06 15:20:46,2022-04-06 15:21:32,IP Address,173.168.20.101,100,45,True,2022-04-06 15:21:32,R_1n3dqgNOQqMNIm8,,,,,28.0056000000000011596057447604835033416748046875,-82.112200000000001409716787748038768768310546875,anonymous,EN,,,,,,,,,,5dffe7b15a3425c08d0c4d93,Male,1-5 years,20-59,Associate,$50-$100k,Hispanic,70,
2022-04-06 15:21:29,2022-04-06 15:22:05,IP Address,12.14.161.117,100,35,True,2022-04-06 15:22:05,R_1BWwFOSDVItkVl3,,,,,33.7349999999999994315658113919198513031005859375,-117.784999999999996589394868351519107818603515625,anonymous,EN,61005ef0b9c31e433af44eb1,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,51,,,,,,,,,,
2022-04-06 15:20:22,2022-04-06 15:22:24,IP Address,73.166.108.157,100,121,True,2022-04-06 15:22:25,R_31ElO6X6mUJtV9R,,,,,30.00430000000000063664629124104976654052734375,-95.174700000000001409716787748038768768310546875,anonymous,EN,5f525487e51b924db405f6a5,Female,1-5 years,20-59,Postgraduate,$150k+,Black,82,,,,,,,,,,
2022-04-06 15:21:10,2022-04-06 15:22:37,IP Address,73.168.253.178,100,87,True,2022-04-06 15:22:37,R_1H6svk7C1hB5q93,,,,,42.16890000000000071622707764618098735809326171875,-87.8546000000000049112713895738124847412109375,anonymous,EN,,,,,,,,,,61060908114a1b42144e84b5,Male,0-1 year,20-59,Undergraduate,$25-$50k,Hispanic,66,
2022-04-06 15:21:57,2022-04-06 15:23:22,IP Address,71.196.155.177,100,85,True,2022-04-06 15:23:22,R_2CQDnxmHBR37KTh,,,,,40.0499999999999971578290569595992565155029296875,-105.2169999999999987494447850622236728668212890625,anonymous,EN,,,,,,,,,,57e969d973e67300012b91c3,Male,5-10 years,20-59,Postgraduate,<$25k,White,70,
2022-04-06 15:21:29,2022-04-06 15:23:49,IP Address,71.13.18.67,100,139,True,2022-04-06 15:23:49,R_24OdmrVAuTifvfr,,,,,44.52279999999999660076355212368071079254150390625,-89.558300000000002683009370230138301849365234375,anonymous,EN,60fc54b735f3211d0d10a371,Female,1-5 years,20-59,Undergraduate,<$25k,White,50,,,,,,,,,,
2022-04-06 15:23:26,2022-04-06 15:24:31,IP Address,76.14.143.212,100,64,True,2022-04-06 15:24:31,R_3rPdrb9F7Cjhna9,,,,,38.68289999999999650981408194638788700103759765625,-121.79689999999999372448655776679515838623046875,anonymous,EN,610803a251c218b330cae33a,Female,10+ years,20-59,Undergraduate,$100-$150k,White,10,,,,,,,,,,
2022-04-06 15:23:56,2022-04-06 15:25:05,IP Address,108.217.88.236,100,68,True,2022-04-06 15:25:05,R_4ZMbYp6zIRkKRwZ,,,,,40.09819999999999851070242584683001041412353515625,-83.1580000000000012505552149377763271331787109375,anonymous,EN,5ee8fdbb6b0e1325a483f9fa,Male,10+ years,20-59,Postgraduate,$100-$150k,White,45,,,,,,,,,,
2022-04-06 15:23:24,2022-04-06 15:25:27,IP Address,47.195.22.64,100,122,True,2022-04-06 15:25:28,R_2Poigvblw7RvQye,,,,,27.961099999999998289013092289678752422332763671875,-81.9398000000000052978066378273069858551025390625,anonymous,EN,,,,,,,,,,5ab99e8247a9f7000153b5d3,Male,10+ years,20-59,High School,$50-$100k,White,33,
2022-04-06 15:24:14,2022-04-06 15:25:56,IP Address,67.1.28.224,100,101,True,2022-04-06 15:25:57,R_2eRVoyFiV4iWnFY,,,,,32.26989999999999980673237587325274944305419921875,-110.98529999999999517967808060348033905029296875,anonymous,EN,60764160ea8fb65a451525e0,Female,5-10 years,20-59,Postgraduate,$50-$100k,White,70,,,,,,,,,,
2022-04-06 15:25:36,2022-04-06 15:26:08,IP Address,70.124.44.244,100,31,True,2022-04-06 15:26:08,R_3KZs5o1lWOOHjTu,,,,,26.251599999999999823785401531495153903961181640625,-98.2270999999999929741534288041293621063232421875,anonymous,EN,61029853180ae07e6a37dc87,Female,1-5 years,20-59,Undergraduate,$25-$50k,Hispanic,75,,,,,,,,,,
2022-04-06 15:26:06,2022-04-06 15:26:37,IP Address,71.202.249.166,100,30,True,2022-04-06 15:26:37,R_2YVD0ZGjUHZcAvl,,,,,37.9269000000000033878677641041576862335205078125,-122.33129999999999881765688769519329071044921875,anonymous,EN,,,,,,,,,,61fa92435719bc09cb8349e3,Female,0-1 year,20-59,Undergraduate,<$25k,Asian,50,
2022-04-06 15:25:50,2022-04-06 15:26:54,IP Address,47.187.246.230,100,63,True,2022-04-06 15:26:54,R_3nISOEZ91XHS5Kv,,,,,32.9346000000000032059688237495720386505126953125,-96.5544000000000011141310096718370914459228515625,anonymous,EN,,,,,,,,,,5c770b456fa7560015823cfb,Male,10+ years,20-59,High School,$50-$100k,White,72,
2022-04-06 15:26:30,2022-04-06 15:26:59,IP Address,173.68.139.199,100,29,True,2022-04-06 15:27:00,R_12ScUZsrR0lPYit,,,,,40.7428000000000025693225325085222721099853515625,-73.9711999999999960664354148320853710174560546875,anonymous,EN,,,,,,,,,,6158becad9d2a93ccd5a170f,Male,1-5 years,< 20,Undergraduate,$50-$100k,Hispanic,15,
2022-04-06 15:25:29,2022-04-06 15:27:02,IP Address,99.35.37.248,100,93,True,2022-04-06 15:27:03,R_d6WmThZrz1eAHAZ,,,,,29.93809999999999860165189602412283420562744140625,-90.030900000000002592059900052845478057861328125,anonymous,EN,,,,,,,,,,610058e458dbc8ee0723a65c,Female,5-10 years,20-59,Undergraduate,$50-$100k,White,29,
2022-04-06 15:26:16,2022-04-06 15:27:03,IP Address,50.106.254.142,100,47,True,2022-04-06 15:27:04,R_1NnrdZeKch5Qnet,,,,,40.4797999999999973397279973141849040985107421875,-88.992199999999996862243278883397579193115234375,anonymous,EN,573348527d01ed000f8f1615,Female,1-5 years,20-59,Undergraduate,<$25k,White,5,,,,,,,,,,
2022-04-06 15:23:53,2022-04-06 15:27:27,IP Address,76.188.147.3,100,213,True,2022-04-06 15:27:27,R_3J7UXCCeo08Dtdw,,,,,41.2291000000000025238477974198758602142333984375,-80.7586000000000012732925824820995330810546875,anonymous,EN,,,,,,,,,,61006f174b5aabf905131ae1,Female,1-5 years,< 20,High School,$50-$100k,White,60,
2022-04-06 15:25:54,2022-04-06 15:27:29,IP Address,98.115.32.47,100,95,True,2022-04-06 15:27:30,R_wSDRvl8xZyqz4qt,,,,,39.9206999999999965211827657185494899749755859375,-75.2673999999999949750417727045714855194091796875,anonymous,EN,5dd685e37beb29617042d345,Female,1-5 years,20-59,High School,$50-$100k,Other,10,,,,,,,,,,
2022-04-06 15:26:39,2022-04-06 15:27:44,IP Address,68.203.143.56,100,65,True,2022-04-06 15:27:45,R_5yzD4uEJomEXVWF,,,,,33.00319999999999964757080306299030780792236328125,-96.5434000000000054342308430932462215423583984375,anonymous,EN,5f12efb291d5a12976456892,Male,5-10 years,20-59,Postgraduate,$100-$150k,White,55,,,,,,,,,,
2022-04-06 15:27:09,2022-04-06 15:27:51,IP Address,67.185.215.195,100,42,True,2022-04-06 15:27:51,R_AyC9A5FcJhPzeRX,,,,,47.7576999999999998181010596454143524169921875,-117.4144000000000005456968210637569427490234375,anonymous,EN,5fcc06c8cb747a9e9f83e542,Non-binary,1-5 years,20-59,Postgraduate,$25-$50k,White,45,,,,,,,,,,
2022-04-06 15:26:05,2022-04-06 15:28:10,IP Address,76.252.250.213,100,124,True,2022-04-06 15:28:15,R_2Ys4g1X0XccHJlb,,,,,34.643000000000000682121026329696178436279296875,-86.81680000000000063664629124104976654052734375,anonymous,EN,,,,,,,,,,615d7e681c930db4365ca2d0,Male,10+ years,20-59,Postgraduate,$150k+,White,0,
2022-04-06 15:28:05,2022-04-06 15:28:28,IP Address,174.31.91.92,100,23,True,2022-04-06 15:28:29,R_2CkaFp36d2pqFxY,,,,,47.64620000000000032969182939268648624420166015625,-117.2656999999999953843143885023891925811767578125,anonymous,EN,,,,,,,,,,6111747b20e9e9c8b651b36a,Female,0-1 year,20-59,Undergraduate,<$25k,White,29,
2022-04-06 15:27:46,2022-04-06 15:28:42,IP Address,74.74.85.236,100,55,True,2022-04-06 15:28:42,R_3nA6cUW1te1YWAW,,,,,42.15059999999999718056642450392246246337890625,-76.0550999999999959300112095661461353302001953125,anonymous,EN,,,,,,,,,,58afb786f97de10001d131a1,Female,5-10 years,20-59,Postgraduate,$50-$100k,White,60,
2022-04-06 15:28:41,2022-04-06 15:29:40,IP Address,24.126.9.74,100,58,True,2022-04-06 15:29:40,R_2pJlHi5vfosWBLS,,,,,39.0005000000000023874235921539366245269775390625,-76.9711999999999960664354148320853710174560546875,anonymous,EN,5f46b13c9603e305ad51dc7f,Female,0-1 year,20-59,Associate,$25-$50k,White,70,,,,,,,,,,
2022-04-06 15:23:16,2022-04-06 15:29:49,IP Address,152.12.250.19,100,392,True,2022-04-06 15:29:49,R_1Csfxq9d2benWDW,,,,,36.06819999999999737383404863066971302032470703125,-80.29279999999999972715158946812152862548828125,anonymous,EN,5e58201b20268d0337f2428a,Female,1-5 years,20-59,Undergraduate,$50-$100k,Black,75,,,,,,,,,,
2022-04-06 15:29:00,2022-04-06 15:29:58,IP Address,99.99.52.102,100,58,True,2022-04-06 15:29:59,R_XkbapViWNLjLpJv,,,,,41.7087999999999965439201332628726959228515625,-83.60529999999999972715158946812152862548828125,anonymous,EN,,,,,,,,,,612db32aae5a4907d79d7d1b,Female,5-10 years,20-59,Postgraduate,$25-$50k,Other,85,
2022-04-06 15:29:12,2022-04-06 15:30:00,IP Address,73.189.39.188,100,48,True,2022-04-06 15:30:01,R_cNOyCwfb9EohVol,,,,,37.308300000000002683009370230138301849365234375,-121.9642999999999943838702165521681308746337890625,anonymous,EN,,,,,,,,,,5f1afa9a3ea57326a5dcfbeb,Female,1-5 years,20-59,Postgraduate,$100-$150k,Asian,51,
2022-04-06 15:28:43,2022-04-06 15:30:43,IP Address,73.242.106.78,100,120,True,2022-04-06 15:30:43,R_RIz5dDSQmsnKHQZ,,,,,44.986299999999999954525264911353588104248046875,-92.7278000000000020008883439004421234130859375,anonymous,EN,5d463e632f66d00016120742,Male,5-10 years,20-59,Postgraduate,$150k+,White,40,,,,,,,,,,
2022-04-06 15:29:13,2022-04-06 15:30:43,IP Address,73.246.34.52,100,90,True,2022-04-06 15:30:43,R_2zhAAqv9P2dDUXT,,,,,41.70570000000000021600499167107045650482177734375,-88.1945999999999941110218060202896595001220703125,anonymous,EN,,,,,,,,,,569e9d738ad3f8000d742557,Female,5-10 years,20-59,Undergraduate,$150k+,Black,45,
2022-04-06 15:29:26,2022-04-06 15:30:59,IP Address,69.127.188.88,100,93,True,2022-04-06 15:30:59,R_1Ff8js4yJm3SK5R,,,,,40.84700000000000130739863379858434200286865234375,-73.8615999999999957026375341229140758514404296875,anonymous,EN,5be04ea54a5e53000157ac4f,Female,0-1 year,20-59,High School,$50-$100k,Black,69,,,,,,,,,,
2022-04-06 15:29:13,2022-04-06 15:31:43,IP Address,67.189.191.185,100,150,True,2022-04-06 15:31:43,R_1FSadtBSCr4ucaD,,,,,41.40979999999999705551090301014482975006103515625,-73.590000000000003410605131648480892181396484375,anonymous,EN,5c5c85c6054ae60001d04f67,Female,10+ years,60+,Undergraduate,$25-$50k,Asian,24,,,,,,,,,,
2022-04-06 15:30:57,2022-04-06 15:31:50,IP Address,98.51.2.13,100,52,True,2022-04-06 15:31:50,R_2zOpi04u4jhy7pv,,,,,37.75059999999999860165189602412283420562744140625,-122.4120999999999952478901832364499568939208984375,anonymous,EN,5e46f490a5748507c57e3c5f,Male,10+ years,20-59,Undergraduate,$100-$150k,Asian,100,,,,,,,,,,
2022-04-06 15:30:15,2022-04-06 15:31:52,IP Address,174.250.14.11,100,97,True,2022-04-06 15:31:52,R_2QlMd4ZUAPhHysE,,,,,37.75099999999999766941982670687139034271240234375,-97.8220000000000027284841053187847137451171875,anonymous,EN,,,,,,,,,,5bddd64b48428800013061a6,Male,1-5 years,20-59,Undergraduate,$50-$100k,Black,60,
2022-04-06 15:31:09,2022-04-06 15:32:15,IP Address,73.75.215.208,100,66,True,2022-04-06 15:32:15,R_51nlyGnzRDh4VUZ,,,,,41.80590000000000117097442853264510631561279296875,-89.7105999999999994543031789362430572509765625,anonymous,EN,5b54ce6fb7ef510001676f99,Male,5-10 years,20-59,Postgraduate,<$25k,White,15,,,,,,,,,,
2022-04-06 15:31:07,2022-04-06 15:32:34,IP Address,172.112.4.158,100,87,True,2022-04-06 15:32:34,R_214EN8CLqpEdUTy,,,,,34.2665999999999968395059113390743732452392578125,-118.7643000000000057525539887137711048126220703125,anonymous,EN,,,,,,,,,,612bdce27fe2b2cb696269f4,Male,1-5 years,20-59,High School,$25-$50k,White,75,
2022-04-06 15:32:08,2022-04-06 15:33:08,IP Address,104.173.3.143,100,59,True,2022-04-06 15:33:08,R_OxLy12ryaMItEzf,,,,,34.19789999999999707824827055446803569793701171875,-118.5370999999999952478901832364499568939208984375,anonymous,EN,60402fec7ef10821fb6ac967,Female,1-5 years,20-59,Postgraduate,$100-$150k,Other,50,,,,,,,,,,
2022-04-06 15:32:04,2022-04-06 15:33:47,IP Address,76.183.179.14,100,102,True,2022-04-06 15:33:47,R_VQH6GlU0wlMH49X,,,,,33.19089999999999918145476840436458587646484375,-96.61979999999999790816218592226505279541015625,anonymous,EN,,,,,,,,,,61018fd6e1c6509680d873d5,Male,0-1 year,20-59,Undergraduate,$25-$50k,White,10,
2022-04-06 15:32:44,2022-04-06 15:34:01,IP Address,71.196.91.198,100,77,True,2022-04-06 15:34:01,R_6xmaMS4IjMSvmoN,,,,,26.21340000000000003410605131648480892181396484375,-80.2239000000000004320099833421409130096435546875,anonymous,EN,,,,,,,,,,5eaa605c7c3cbc1f14421a94,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,32,
2022-04-06 15:33:15,2022-04-06 15:34:02,IP Address,172.58.137.62,100,46,True,2022-04-06 15:34:02,R_239wWWLP5vCTjX5,,,,,38.5773999999999972487785271368920803070068359375,-90.6709000000000031604940886609256267547607421875,anonymous,EN,60cf3e11d99a3eed26785caf,Male,10+ years,20-59,Undergraduate,$50-$100k,Hispanic,30,,,,,,,,,,
2022-04-06 15:32:16,2022-04-06 15:34:07,IP Address,107.77.213.7,100,110,True,2022-04-06 15:34:07,R_30179skZdPpTqGS,,,,,37.77969999999999828332875040359795093536376953125,-122.415899999999993497112882323563098907470703125,anonymous,EN,,,,,,,,,,5c0765e10ea1410001a9dc5f,Male,1-5 years,20-59,High School,$25-$50k,White,21,
2022-04-06 15:33:39,2022-04-06 15:34:25,IP Address,47.156.202.234,100,45,True,2022-04-06 15:34:25,R_1NaL0RcsSpxxDy4,,,,,33.6749999999999971578290569595992565155029296875,-118.0027000000000043655745685100555419921875,anonymous,EN,5cfead53e8a97e00170890b3,Female,5-10 years,20-59,Undergraduate,$50-$100k,Other,80,,,,,,,,,,
2022-04-06 15:34:03,2022-04-06 15:34:42,IP Address,24.177.72.154,100,39,True,2022-04-06 15:34:43,R_2v5NIfm8E0GrDog,,,,,35.63550000000000039790393202565610408782958984375,-82.5644999999999953388396534137427806854248046875,anonymous,EN,,,,,,,,,,5a9cadb11eda41000136758c,Male,1-5 years,20-59,High School,$25-$50k,White,60,
2022-04-06 15:33:56,2022-04-06 15:34:57,IP Address,98.149.74.82,100,61,True,2022-04-06 15:34:57,R_2YbmLOChmq8eTXs,,,,,33.8001000000000004774847184307873249053955078125,-117.994900000000001227817847393453121185302734375,anonymous,EN,,,,,,,,,,5cb128db0d14d3001838eef5,Female,1-5 years,20-59,Undergraduate,$150k+,Asian,64,
2022-04-06 15:34:38,2022-04-06 15:35:31,IP Address,73.192.45.116,100,52,True,2022-04-06 15:35:31,R_271Jmrbk3mdMRaD,,,,,30.290299999999998448174665099941194057464599609375,-81.5092000000000069803718361072242259979248046875,anonymous,EN,5ae521a03ab2fb0001ef2365,Male,5-10 years,20-59,Postgraduate,$50-$100k,Asian,80,,,,,,,,,,
2022-04-06 15:34:32,2022-04-06 15:35:43,IP Address,135.180.153.29,100,70,True,2022-04-06 15:35:43,R_1I6rfK8YMSIBcfm,,,,,37.75619999999999976125764078460633754730224609375,-122.4865999999999957026375341229140758514404296875,anonymous,EN,60b7e2e625f69678f2fe8912,Female,10+ years,20-59,Undergraduate,$100-$150k,Asian,86,,,,,,,,,,
2022-04-06 15:34:48,2022-04-06 15:36:03,IP Address,68.83.149.161,100,74,True,2022-04-06 15:36:03,R_3PAeYVsh59GGuOq,,,,,40.10860000000000269437805400229990482330322265625,-75.28350000000000363797880709171295166015625,anonymous,EN,,,,,,,,,,5b6d95eb5729b200016a4f2e,Female,5-10 years,20-59,Undergraduate,$100-$150k,White,9,
2022-04-06 15:35:13,2022-04-06 15:37:09,IP Address,71.163.21.157,100,116,True,2022-04-06 15:37:10,R_2q8ePJUIQQlUyD8,,,,,38.455500000000000682121026329696178436279296875,-77.4325999999999936562744551338255405426025390625,anonymous,EN,55d29e1c5bc5bc0005d90b02,Female,1-5 years,20-59,Associate,$100-$150k,White,80,,,,,,,,,,
2022-04-06 15:36:39,2022-04-06 15:37:14,IP Address,98.152.210.226,100,34,True,2022-04-06 15:37:14,R_elIHAsahoKTdd6h,,,,,34.10040000000000048885340220294892787933349609375,-118.29460000000000263753463514149188995361328125,anonymous,EN,,,,,,,,,,611198c8069b5afd2d35df43,Female,1-5 years,20-59,Undergraduate,$50-$100k,Hispanic,60,
2022-04-06 15:37:01,2022-04-06 15:37:33,IP Address,68.5.85.65,100,32,True,2022-04-06 15:37:34,R_2VPDWmCkP1WOuLJ,,,,,33.56790000000000162572177941910922527313232421875,-117.704599999999999226929503493010997772216796875,anonymous,EN,,,,,,,,,,5f13863cc6197238777ba81e,Male,5-10 years,20-59,Postgraduate,$150k+,Other,5,
2022-04-06 15:36:56,2022-04-06 15:37:36,IP Address,75.187.237.14,100,39,True,2022-04-06 15:37:37,R_3HLI3wHtdg0w6WC,,,,,41.23949999999999960209606797434389591217041015625,-82.597499999999996589394868351519107818603515625,anonymous,EN,5c3f73e9d831ed0001f794ec,Female,1-5 years,20-59,High School,$50-$100k,White,5,,,,,,,,,,
2022-04-06 15:37:04,2022-04-06 15:37:57,IP Address,24.94.250.239,100,53,True,2022-04-06 15:37:58,R_3Ht90KDSw8L9aL1,,,,,31.265299999999999869260136620141565799713134765625,-85.3991999999999933379513095133006572723388671875,anonymous,EN,601c4e4be774df7440390622,Male,1-5 years,20-59,High School,$25-$50k,White,90,,,,,,,,,,
2022-04-06 15:37:13,2022-04-06 15:38:06,IP Address,50.36.168.95,100,52,True,2022-04-06 15:38:06,R_2QE8ncmjBYLNmzk,,,,,44.991500000000002046363078989088535308837890625,-84.14879999999999427018337883055210113525390625,anonymous,EN,,,,,,,,,,614ac244da8ff9d15fa40f9c,Female,0-1 year,20-59,High School,<$25k,White,0,
2022-04-06 15:37:01,2022-04-06 15:38:16,IP Address,24.46.2.73,100,74,True,2022-04-06 15:38:16,R_22RZCDhCmDo1lrA,,,,,40.945099999999996498445398174226284027099609375,-74.2531000000000034333424991928040981292724609375,anonymous,EN,5edc195a95d5090e1c3f91b2,Male,5-10 years,20-59,Undergraduate,$50-$100k,White,75,,,,,,,,,,
2022-04-06 15:35:35,2022-04-06 15:38:48,IP Address,172.77.62.159,100,193,True,2022-04-06 15:38:48,R_3hlnBkUbQHzB6AP,,,,,30.693400000000000460431692772544920444488525390625,-87.385999999999995679900166578590869903564453125,anonymous,EN,,,,,,,,,,60ecbfc5d2069cd40af0d517,Male,5-10 years,20-59,Undergraduate,<$25k,Other,20,
2022-04-06 15:37:38,2022-04-06 15:38:51,IP Address,209.17.40.40,100,73,True,2022-04-06 15:38:51,R_9sP7R095T2n5nsl,,,,,42.35620000000000118234311230480670928955078125,-71.0631000000000057070792536251246929168701171875,anonymous,EN,,,,,,,,,,616a379bb699d582c0cf8602,Male,1-5 years,20-59,Undergraduate,$100-$150k,Asian,41,
2022-04-06 15:38:16,2022-04-06 15:38:55,IP Address,136.33.221.200,100,38,True,2022-04-06 15:38:55,R_2CEyhuux1yDAhBN,,,,,39.04520000000000123918653116561472415924072265625,-94.7189000000000049794834922067821025848388671875,anonymous,EN,60ff73944b8a448452e215ec,Female,0-1 year,20-59,Postgraduate,$100-$150k,White,47,,,,,,,,,,
2022-04-06 15:38:06,2022-04-06 15:38:57,IP Address,68.226.90.109,100,50,True,2022-04-06 15:38:57,R_24Gbq3BUsHxMjdK,,,,,41.83070000000000021600499167107045650482177734375,-71.398200000000002773958840407431125640869140625,anonymous,EN,5e2610aad15fdb000c054503,Male,10+ years,20-59,Undergraduate,$100-$150k,White,16,,,,,,,,,,
2022-04-06 15:38:14,2022-04-06 15:39:00,IP Address,24.13.44.17,100,45,True,2022-04-06 15:39:00,R_2Bm1f5C2CyPcBCG,,,,,42.06479999999999819237928022630512714385986328125,-87.935599999999993769961292855441570281982421875,anonymous,EN,5c57c06ed05b82000139682e,Male,1-5 years,20-59,Undergraduate,$50-$100k,White,85,,,,,,,,,,
2022-04-06 15:38:10,2022-04-06 15:39:23,IP Address,107.184.141.193,100,73,True,2022-04-06 15:39:24,R_pAupdfmyLdNNyhP,,,,,34.2665999999999968395059113390743732452392578125,-118.7643000000000057525539887137711048126220703125,anonymous,EN,,,,,,,,,,5c26b151c4b6e3000152c0b8,Male,5-10 years,60+,Postgraduate,$25-$50k,White,10,
2022-04-06 15:39:01,2022-04-06 15:39:25,IP Address,104.173.195.204,100,24,True,2022-04-06 15:39:26,R_1gvFnqxV5P1qKsQ,,,,,34.02900000000000346744855050928890705108642578125,-118.400499999999993860910763032734394073486328125,anonymous,EN,,,,,,,,,,5edc8a9298364795a32abd97,Male,5-10 years,20-59,Undergraduate,$100-$150k,White,29,
2022-04-06 15:38:46,2022-04-06 15:39:36,IP Address,173.79.230.25,100,50,True,2022-04-06 15:39:37,R_32OPpN7o6Ka08EI,,,,,38.6758999999999986130205797962844371795654296875,-77.3157000000000067529981606639921665191650390625,anonymous,EN,610aba9d57e9ccd056ae5d01,Female,1-5 years,20-59,Undergraduate,$50-$100k,Hispanic,38,,,,,,,,,,
2022-04-06 15:38:39,2022-04-06 15:39:45,IP Address,47.12.34.240,100,66,True,2022-04-06 15:39:45,R_1JPJSjPeiraDEoX,,,,,46.35210000000000007958078640513122081756591796875,-94.1046000000000049112713895738124847412109375,anonymous,EN,,,,,,,,,,5c7001cacf38670001c6e62d,Male,10+ years,60+,High School,$100-$150k,White,71,
2022-04-06 15:38:20,2022-04-06 15:39:50,IP Address,12.35.13.50,100,90,True,2022-04-06 15:39:50,R_3m2ZpQVvq6kNilU,,,,,32.91029999999999944293449516408145427703857421875,-96.7283000000000043883119360543787479400634765625,anonymous,EN,5af799f857516b0001412679,Male,10+ years,20-59,Postgraduate,$100-$150k,White,71,,,,,,,,,,
2022-04-06 15:38:11,2022-04-06 15:40:14,IP Address,68.109.42.13,100,122,True,2022-04-06 15:40:14,R_9pEeQMbRrUm9fc5,,,,,32.5938000000000016598278307355940341949462890625,-83.64199999999999590727384202182292938232421875,anonymous,EN,,,,,,,,,,61077b181bd5fdff11653ef6,Female,5-10 years,20-59,Undergraduate,$50-$100k,Black,65,
2022-04-06 15:38:34,2022-04-06 15:40:24,IP Address,100.10.90.144,100,109,True,2022-04-06 15:40:24,R_12aRevr1jkUPTq0,,,,,41.87400000000000233058017329312860965728759765625,-71.384399999999999408828443847596645355224609375,anonymous,EN,,,,,,,,,,5d1e3173767ef50016d45f5a,Male,1-5 years,20-59,Undergraduate,$25-$50k,White,91,
2022-04-06 15:38:49,2022-04-06 15:40:38,IP Address,73.100.55.53,100,109,True,2022-04-06 15:40:39,R_2zv8RoSOdSyQdKK,,,,,42.375,-70.9756000000000000227373675443232059478759765625,anonymous,EN,5f03579ef3d5b3546f323d47,Female,10+ years,60+,Postgraduate,$100-$150k,White,60,,,,,,,,,,
2022-04-06 15:40:05,2022-04-06 15:41:52,IP Address,24.188.64.33,100,107,True,2022-04-06 15:41:53,R_1ozJ3yiiVMLnTvY,,,,,41.0816999999999978854248183779418468475341796875,-74.1863000000000027966962079517543315887451171875,anonymous,EN,5e7bfd21e1b0ed12f11a1ad3,Female,0-1 year,20-59,Undergraduate,$50-$100k,Asian,30,,,,,,,,,,
2022-04-06 15:40:28,2022-04-06 15:42:19,IP Address,172.58.46.192,100,110,True,2022-04-06 15:42:19,R_ST4mkd01uBbaj1T,,,,,47.60340000000000060254023992456495761871337890625,-122.341399999999993042365531437098979949951171875,anonymous,EN,5f8ac3760d1aa703601582ef,Male,0-1 year,20-59,Undergraduate,<$25k,White,62,,,,,,,,,,
2022-04-06 15:42:27,2022-04-06 15:44:05,IP Address,75.182.58.56,100,98,True,2022-04-06 15:44:06,R_7QgVRBUVut0vDmF,,,,,33.9739000000000004320099833421409130096435546875,-81.234499999999997044142219237983226776123046875,anonymous,EN,,,,,,,,,,5e4ae9b7fafd6f04e442f2dd,Female,0-1 year,20-59,High School,$25-$50k,Black,60,
2022-04-06 15:41:48,2022-04-06 15:44:36,IP Address,24.12.140.177,100,167,True,2022-04-06 15:44:36,R_3MbPl6y6lllAF2y,,,,,40.6786000000000029785951483063399791717529296875,-89.633499999999997953636921010911464691162109375,anonymous,EN,5a67725b63394a000155abbb,Female,1-5 years,20-59,High School,$25-$50k,White,51,,,,,,,,,,
2022-04-06 15:43:30,2022-04-06 15:44:36,IP Address,108.12.30.204,100,66,True,2022-04-06 15:44:37,R_12hVgIzf5oLM3if,,,,,43.17229999999999989768184605054557323455810546875,-76.1032000000000010686562745831906795501708984375,anonymous,EN,5dceebc257a7e103bf995bcf,Female,10+ years,20-59,Postgraduate,$50-$100k,White,72,,,,,,,,,,
